time;P;;;;;;;;;;
20200120:0411;0.0;;;;;;;;;;
20200120:0511;0.0;;;;;;;;;;
20200120:0611;0.0;;;;;;;;;;
20200120:0711;0.0;;;;;;;;;;
20200120:0811;42012.0;;;;;;;;;;
20200120:0911;142488.0;;;;;;;;;;
20200120:1011;153288.0;;;;;;;;;;
20200120:1111;212616.0;;;;;;;;;;
20200120:1211;145404.0;;;;;;;;;;
20200120:1311;507708.0;;;;;;;;;;
20200120:1411;351396.0;;;;;;;;;;
20200120:1511;0.0;;;;;;;;;;
20200120:1611;0.0;;;;;;;;;;
20200120:1711;0.0;;;;;;;;;;
20200120:1811;0.0;;;;;;;;;;
20200120:1911;0.0;;;;;;;;;;
20200120:2011;0.0;;;;;;;;;;
20200120:2111;0.0;;;;;;;;;;
20200120:2211;0.0;;;;;;;;;;
20200120:2311;0.0;;;;;;;;;;
20200121:0011;0.0;;;;;;;;;;
20200121:0111;0.0;;;;;;;;;;
20200121:0211;0.0;;;;;;;;;;
20200121:0311;0.0;;;;;;;;;;
20200121:0411;0.0;;;;;;;;;;
20200121:0511;0.0;;;;;;;;;;
20200121:0611;0.0;;;;;;;;;;
20200121:0711;0.0;;;;;;;;;;
20200121:0811;258624.0;;;;;;;;;;
20200121:0911;626742.0;;;;;;;;;;
20200121:1011;870570.0;;;;;;;;;;
20200121:1111;923112.0;;;;;;;;;;
20200121:1211;873630.0;;;;;;;;;;
20200121:1311;741546.0;;;;;;;;;;
20200121:1411;507546.0;;;;;;;;;;
20200121:1511;144.0;;;;;;;;;;
20200121:1611;0.0;;;;;;;;;;
20200121:1711;0.0;;;;;;;;;;
20200121:1811;0.0;;;;;;;;;;
20200121:1911;0.0;;;;;;;;;;
20200121:2011;0.0;;;;;;;;;;
20200121:2111;0.0;;;;;;;;;;
20200121:2211;0.0;;;;;;;;;;
20200121:2311;0.0;;;;;;;;;;
20200122:0011;0.0;;;;;;;;;;
20200122:0111;0.0;;;;;;;;;;
20200122:0211;0.0;;;;;;;;;;
20200122:0311;0.0;;;;;;;;;;
20200122:0411;0.0;;;;;;;;;;
20200122:0511;0.0;;;;;;;;;;
20200122:0611;0.0;;;;;;;;;;
20200122:0711;0.0;;;;;;;;;;
20200122:0811;23526.0;;;;;;;;;;
20200122:0911;63252.0;;;;;;;;;;
20200122:1011;61704.0;;;;;;;;;;
20200122:1111;35028.0;;;;;;;;;;
20200122:1211;43020.0;;;;;;;;;;
20200122:1311;164448.0;;;;;;;;;;
20200122:1411;78930.0;;;;;;;;;;
20200122:1511;126.0;;;;;;;;;;
20200122:1611;0.0;;;;;;;;;;
20200122:1711;0.0;;;;;;;;;;
20200122:1811;0.0;;;;;;;;;;
20200122:1911;0.0;;;;;;;;;;
20200122:2011;0.0;;;;;;;;;;
20200122:2111;0.0;;;;;;;;;;
20200122:2211;0.0;;;;;;;;;;
20200122:2311;0.0;;;;;;;;;;
20200123:0011;0.0;;;;;;;;;;
20200123:0111;0.0;;;;;;;;;;
20200123:0211;0.0;;;;;;;;;;
20200123:0311;0.0;;;;;;;;;;
20200123:0411;0.0;;;;;;;;;;
20200123:0511;0.0;;;;;;;;;;
20200123:0611;0.0;;;;;;;;;;
20200123:0711;0.0;;;;;;;;;;
20200123:0811;49824.0;;;;;;;;;;
20200123:0911;118494.0;;;;;;;;;;
20200123:1011;188946.0;;;;;;;;;;
20200123:1111;96120.0;;;;;;;;;;
20200123:1211;64008.0;;;;;;;;;;
20200123:1311;61182.0;;;;;;;;;;
20200123:1411;34920.0;;;;;;;;;;
20200123:1511;0.0;;;;;;;;;;
20200123:1611;0.0;;;;;;;;;;
20200123:1711;0.0;;;;;;;;;;
20200123:1811;0.0;;;;;;;;;;
20200123:1911;0.0;;;;;;;;;;
20200123:2011;0.0;;;;;;;;;;
20200123:2111;0.0;;;;;;;;;;
20200123:2211;0.0;;;;;;;;;;
